"Trip.ID","Trip.Start.Timestamp","Trip.End.Timestamp","Trip.Seconds","Trip.Miles","Pickup.Census.Tract","Dropoff.Census.Tract","Pickup.Community.Area","Dropoff.Community.Area","Fare","Tip","Additional.Charges","Trip.Total","Shared.Trip.Authorized","Trips.Pooled","Pickup.Centroid.Latitude","Pickup.Centroid.Longitude","Pickup.Centroid.Location","Dropoff.Centroid.Latitude","Dropoff.Centroid.Longitude","Dropoff.Centroid.Location"
"89ccfbb92fc655fa8e425aff27a628c1526f6b44","06/16/2019 06:30:00 PM","06/16/2019 07:15:00 PM",2632,23.1,17031191100,NA,19,NA,32.5,0,3.5,36,"false",1,41.9195645564,-87.7509798603,"POINT (-87.7509798603 41.9195645564)",NA,NA,""
"a1cf5186b4db03d0b4c3d85354d8358710cd5756","06/16/2019 04:15:00 AM","06/16/2019 04:30:00 AM",1061,11.6,NA,NA,NA,50,20,0,0,20,"true",1,NA,NA,"",41.7061257523,-87.5982558383,"POINT (-87.5982558383 41.7061257523)"
"63428f62556389fe385d6434a69314261c012012","06/04/2019 02:00:00 AM","06/04/2019 02:15:00 AM",919,7.7,NA,NA,23,NA,12.5,0,2.55,15.05,"false",1,41.9000696026,-87.7209182385,"POINT (-87.7209182385 41.9000696026)",NA,NA,""
"2de7fced1bf55e0a34998188353f2690de96ec2b","06/16/2019 04:45:00 PM","06/16/2019 05:00:00 PM",337,1,17031080300,17031081700,8,8,10,0,2.55,12.55,"false",1,41.9074919303,-87.6357600901,"POINT (-87.6357600901 41.9074919303)",41.8920421365,-87.6318639497,"POINT (-87.6318639497 41.8920421365)"
"9240201580151155ef9a622c376b5163a6dc4639","06/06/2019 08:15:00 AM","06/06/2019 12:00:00 AM",NA,8.5,17031630900,17031231200,63,23,20,0,2.55,22.55,"false",1,41.7897875353,-87.7084167286,"POINT (-87.7084167286 41.7897875353)",41.8990616211,-87.7213158985,"POINT (-87.7213158985 41.8990616211)"
"a51bf37b685016af210eca3d46de606b4ad00de3","06/21/2019 03:30:00 PM","06/21/2019 04:00:00 PM",1436,8.4,17031420700,17031330100,42,33,10,0,2.55,12.55,"true",2,41.7766915396,-87.6106933,"POINT (-87.6106933 41.7766915396)",41.859349715,-87.6173580061,"POINT (-87.6173580061 41.859349715)"
"17dcec7748028465cfc5967810854258a703e145","06/24/2019 10:30:00 AM","06/24/2019 10:45:00 AM",1236,4.9,NA,NA,16,7,12.5,2,2.55,17.05,"false",1,41.9535821253,-87.7234523905,"POINT (-87.7234523905 41.9535821253)",41.9226862843,-87.6494887289,"POINT (-87.6494887289 41.9226862843)"
"856e1fdc77f210e9b92ccc7374860de155253b58","06/18/2019 05:45:00 PM","06/18/2019 06:00:00 PM",606,2.4,17031600900,17031841100,60,34,7.5,1,2.55,11.05,"false",1,41.8365103216,-87.6531587001,"POINT (-87.6531587001 41.8365103216)",41.8510178239,-87.6350918563,"POINT (-87.6350918563 41.8510178239)"
"435a506e24d3c60e7560fe7a7ae3b31ad6eb5d4f","06/07/2019 06:00:00 AM","06/07/2019 06:00:00 AM",347,1.6,17031081403,17031080100,8,8,5,0,2.55,7.55,"false",1,41.8909220259,-87.6188683546,"POINT (-87.6188683546 41.8909220259)",41.9075200747,-87.6266589003,"POINT (-87.6266589003 41.9075200747)"
"4dec0bb4ce73369489128adc9a50dba57394c90f","06/27/2019 06:30:00 AM","06/27/2019 06:45:00 AM",781,2.3,17031081403,17031281900,8,28,7.5,0,2.55,10.05,"false",1,41.8909220259,-87.6188683546,"POINT (-87.6188683546 41.8909220259)",41.8792550844,-87.642648998,"POINT (-87.642648998 41.8792550844)"
